Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value
2003,YEAR,STATE,42,4,TOTAL,"6,87,000"
2003,YEAR,STATE,49,4,TOTAL,"12,22,09,000"
2003,YEAR,STATE,55,4,TOTAL,"8,14,60,000"
2002,YEAR,STATE,6,4,TOTAL,"45,44,83,000"
2002,YEAR,STATE,17,4,TOTAL,"1,43,92,000"
2002,YEAR,STATE,19,4,TOTAL,"1,28,75,000"
2002,YEAR,STATE,36,4,TOTAL,"24,72,21,000"
2002,YEAR,STATE,55,4,TOTAL,"7,14,61,000"
2001,YEAR,STATE,6,4,TOTAL,"26,43,04,000"
2001,YEAR,STATE,17,4,TOTAL,"1,27,73,000"
2001,YEAR,STATE,36,4,TOTAL,"25,26,31,000"
2001,YEAR,STATE,55,4,TOTAL,"7,74,51,000"
2000,YEAR,STATE,6,4,TOTAL,"25,72,11,000"
2000,YEAR,STATE,17,4,TOTAL,"1,16,53,000"
2000,YEAR,STATE,36,4,TOTAL,"24,72,32,000"
2000,YEAR,STATE,55,4,TOTAL,"7,73,48,000"
1999,YEAR,STATE,6,4,TOTAL,"23,81,10,000"
1999,YEAR,STATE,17,4,TOTAL,"1,05,13,000"
1999,YEAR,STATE,36,4,TOTAL,"25,00,84,000"
1999,YEAR,STATE,55,4,TOTAL,"6,65,91,000"
1998,YEAR,STATE,6,4,TOTAL,"20,03,63,000"
1998,YEAR,STATE,17,4,TOTAL,"1,65,93,000"
1998,YEAR,STATE,36,4,TOTAL,"23,31,26,000"
1998,YEAR,STATE,38,4,TOTAL,"23,000"
1998,YEAR,STATE,55,4,TOTAL,"6,32,74,000"
1997,YEAR,STATE,6,4,TOTAL,"18,95,61,000"
1997,YEAR,STATE,17,4,TOTAL,"1,39,03,000"
1997,YEAR,STATE,36,4,TOTAL,"20,32,04,000"
1997,YEAR,STATE,38,4,TOTAL,"28,000"
1997,YEAR,STATE,47,4,TOTAL,"4,05,000"
1996,YEAR,STATE,6,4,TOTAL,"19,67,78,000"
1996,YEAR,STATE,17,4,TOTAL,"1,53,49,000"
1996,YEAR,STATE,36,4,TOTAL,"20,85,13,000"
1996,YEAR,STATE,38,4,TOTAL,"28,000"
1996,YEAR,STATE,55,4,TOTAL,"3,17,76,000"
1995,YEAR,STATE,6,4,TOTAL,"25,16,51,000"
1995,YEAR,STATE,8,4,TOTAL,"2,52,29,000"
1995,YEAR,STATE,17,4,TOTAL,"1,85,75,000"
1995,YEAR,STATE,36,4,TOTAL,"23,18,05,000"
1995,YEAR,STATE,38,4,TOTAL,"26,000"
1995,YEAR,STATE,47,4,TOTAL,"1,69,000"
1995,YEAR,STATE,55,4,TOTAL,"2,58,55,000"
1994,YEAR,STATE,6,4,TOTAL,"28,67,66,000"
1994,YEAR,STATE,8,4,TOTAL,"2,87,01,000"
1994,YEAR,STATE,17,4,TOTAL,"1,83,05,000"
1994,YEAR,STATE,36,4,TOTAL,"22,96,80,000"
1994,YEAR,STATE,37,4,TOTAL,"40,10,000"
1994,YEAR,STATE,38,4,TOTAL,"28,000"
1994,YEAR,STATE,55,4,TOTAL,"2,14,76,000"
1993,YEAR,STATE,6,4,TOTAL,"28,49,44,000"
1993,YEAR,STATE,8,4,TOTAL,"2,70,97,000"
1993,YEAR,STATE,17,4,TOTAL,"1,52,67,000"
1993,YEAR,STATE,36,4,TOTAL,"20,72,02,000"
1993,YEAR,STATE,37,4,TOTAL,"46,97,000"
1993,YEAR,STATE,38,4,TOTAL,"25,000"
1993,YEAR,STATE,48,4,TOTAL,"3,10,71,000"
1993,YEAR,STATE,55,4,TOTAL,"2,12,46,000"
1992,YEAR,STATE,6,4,TOTAL,"23,76,95,000"
1992,YEAR,STATE,8,4,TOTAL,"2,75,72,000"
1992,YEAR,STATE,12,4,TOTAL,"83,49,000"
1992,YEAR,STATE,17,4,TOTAL,"1,58,99,000"
1992,YEAR,STATE,26,4,TOTAL,"10,54,02,000"
1992,YEAR,STATE,36,4,TOTAL,"20,07,87,000"
1992,YEAR,STATE,37,4,TOTAL,"39,69,000"
1992,YEAR,STATE,48,4,TOTAL,"2,92,39,000"
1991,YEAR,STATE,6,4,TOTAL,"23,27,64,000"
1991,YEAR,STATE,12,4,TOTAL,"95,00,000"
1991,YEAR,STATE,17,4,TOTAL,"1,15,20,000"
1991,YEAR,STATE,19,4,TOTAL,"77,53,000"
1991,YEAR,STATE,36,4,TOTAL,"18,55,18,000"
1991,YEAR,STATE,37,4,TOTAL,"31,76,000"
1991,YEAR,STATE,42,4,TOTAL,"38,59,000"
1991,YEAR,STATE,48,4,TOTAL,"2,48,29,000"
1991,YEAR,STATE,55,4,TOTAL,"1,18,21,000"
1990,YEAR,STATE,6,4,TOTAL,"23,37,48,000"
1990,YEAR,STATE,17,4,TOTAL,"1,09,00,000"
1990,YEAR,STATE,19,4,TOTAL,"1,10,58,000"
1990,YEAR,STATE,36,4,TOTAL,"18,90,12,000"
1990,YEAR,STATE,37,4,TOTAL,"25,45,000"
1990,YEAR,STATE,48,4,TOTAL,"1,89,88,000"
1990,YEAR,STATE,55,4,TOTAL,"1,08,68,000"
